                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.441,                 1.5587,                 1.1219,                0.66001,                0.33269,                0.38831,                0.21514,                 1.3729,                 1.1698,                 1.0947,             0.00036984,             0.00036984,             0.00036984
                      2,                 1.3672,                 1.1361,                 1.1088,                0.63998,                0.39306,                  0.445,                0.24707,                 1.3057,                 0.9887,                 1.0899,             0.00073145,             0.00073145,             0.00073145
                      3,                 1.3219,                 1.0231,                 1.0951,                0.47854,                0.45613,                0.48486,                0.26876,                 1.3204,                0.97646,                 1.0796,              0.0010843,              0.0010843,              0.0010843
                      4,                 1.2899,                0.96378,                 1.0815,                0.44183,                0.48717,                0.48837,                0.27404,                 1.2412,                0.89199,                 1.0534,              0.0010717,              0.0010717,              0.0010717
                      5,                 1.2606,                0.91248,                  1.067,                0.55935,                0.47167,                0.50282,                 0.2778,                  1.256,                0.88729,                 1.0648,              0.0010586,              0.0010586,              0.0010586
                      6,                 1.2469,                0.89106,                 1.0653,                0.56758,                0.46384,                0.51646,                0.29093,                 1.2308,                0.85427,                 1.0501,              0.0010455,              0.0010455,              0.0010455
                      7,                 1.2291,                0.86497,                 1.0546,                0.49573,                0.55771,                0.52763,                0.28774,                 1.2123,                 0.8345,                 1.0392,              0.0010324,              0.0010324,              0.0010324
                      8,                 1.1966,                0.83865,                 1.0426,                0.60486,                0.51203,                0.55743,                0.31511,                 1.2114,                0.80959,                 1.0365,              0.0010193,              0.0010193,              0.0010193
                      9,                 1.1909,                0.82653,                 1.0425,                0.52554,                0.53262,                0.53852,                0.30539,                 1.1946,                0.81396,                 1.0476,              0.0010062,              0.0010062,              0.0010062
                     10,                 1.1664,                0.79889,                 1.0314,                0.57737,                0.50574,                 0.5386,                0.30558,                 1.1601,                0.77926,                 1.0251,             0.00099315,             0.00099315,             0.00099315
                     11,                 1.1573,                0.79465,                 1.0309,                0.61441,                0.55971,                0.60745,                0.35008,                 1.1474,                0.76305,                 1.0125,             0.00098006,             0.00098006,             0.00098006
                     12,                 1.1502,                0.78299,                 1.0258,                0.64319,                0.54308,                0.59652,                0.33793,                 1.1532,                0.74789,                 1.0205,             0.00096697,             0.00096697,             0.00096697
                     13,                 1.1403,                0.77477,                 1.0214,                0.66487,                0.58325,                 0.6163,                0.34361,                 1.1398,                0.72952,                 1.0147,             0.00095387,             0.00095387,             0.00095387
                     14,                 1.1276,                 0.7589,                 1.0176,                0.62453,                0.55132,                0.60087,                0.35488,                 1.1174,                0.73872,                  1.014,             0.00094078,             0.00094078,             0.00094078
                     15,                 1.1218,                0.75075,                 1.0158,                 0.6571,                0.55441,                0.62607,                0.36325,                 1.1148,                0.72777,                 1.0088,             0.00092769,             0.00092769,             0.00092769
                     16,                 1.1146,                0.74445,                 1.0136,                0.66699,                0.56198,                0.63419,                0.36351,                 1.1106,                 0.7253,                 1.0047,             0.00091459,             0.00091459,             0.00091459
                     17,                  1.097,                0.72901,                 1.0065,                0.63828,                 0.6011,                0.62891,                0.37243,                 1.1006,                0.70346,                 1.0014,              0.0009015,              0.0009015,              0.0009015
